"Date_UTC","Rain_Intensity","Total_Precip","Liquid_Precip","Solid_Precip","Precipitation.amount","Air_Temp","RH","Precipitation_amount","RH....","Temperature..C.","Station.Level.Pressure..hPa.","MSLP..hPa.","u","v","w","speed","direction","qc_flag_Rain_Intensity","qc_flag_Total_Precip","qc_flag_Liquid_Precip","qc_flag_Solid_Precip","qc_flag_Precipitation_amount","qc_flag_Air_Temp","qc_flag_RH","qc_flag_Relative_Humidity_pct"
2023-10-01,0,0,0,0,38.36,-9.9,99.8793103448276,NA,92.81870965,16.1486014666667,1002.5764658,1020.13732413033,2.85989803581745,-0.899440496822646,-0.32313691507799,3.17539543616407,197.050847775852,"1b","1b","1b","1b","1b","1b",1,"b"
2023-10-01 01:00:00,0,0,0,0,38.36,-9.9,100,NA,92.8137754166667,16.577719,1002.42584126667,1019.957831287,3.30040795159896,-1.02421521175454,-0.387040910400461,3.61366407375396,196.821644482858,"1b","1b","1b","1b","1b","1b",1,"b"
2023-10-01 02:00:00,0.000983333333333333,0.00136666666666667,0.00136666666666667,0,38.36,-9.755,95.15,NA,92.0468310333333,16.9970112666667,1002.31502288333,1019.81952048965,2.69751526497696,-0.897123559907834,-0.352079205069124,2.99611952764977,198.115930875576,"1b","1b","1b","1b","1b","1b",1,"b"
2023-10-01 03:00:00,0.0014,0.00103333333333333,0.00103333333333333,0,38.36,-9.86666666666667,94.4833333333333,NA,91.9628988666667,17.2615606,1002.11080435,1019.59565299547,2.51036031105991,-0.892779953917051,-0.287626152073733,2.82774625576037,199.022213709677,"1b","1b","1b","1b","1b","1b",1,"b"
2023-10-01 04:00:00,0,0,0,0,38.36,-9.9,100,NA,92.3972638,17.3125527333333,1001.74655756667,1019.22195530612,2.36327699395335,-0.775914195220271,-0.286322199827239,2.6592464727901,196.260209041175,"1b","1b","1b","1b","1b","1b",1,"b"
2023-10-01 05:00:00,0,0,0,0,38.36,-9.9,100,NA,91.7167376833333,17.5067917666667,1001.63348178333,1019.09513330604,2.46028131298589,-0.763456089835877,-0.293107975813418,2.70663000287936,196.132561186294,"1b","1b","1b","1b","1b","1b",1,"b"
2023-10-01 06:00:00,0,0,0,0,38.36,-9.9,99.9833333333333,NA,90.5060793166667,17.7539959333333,1001.59569796667,1019.04172013602,2.8193801843318,-1.15477390552995,-0.374043202764977,3.20210138248848,202.419052995392,"1b","1b","1b","1b","1b","1b",1,"b"
2023-10-01 07:00:00,0,0,0,0,38.36,-9.9,100,NA,92.3899956833333,17.5967937333333,1001.62889101667,1019.08500556314,2.38857373271889,-0.903825460829493,-0.279060195852535,2.71065120967742,200.466533410138,"1b","1b","1b","1b","1b","1b",1,"b"
2023-10-01 08:00:00,0,0,0,0,38.36,-9.9,99.9333333333333,NA,92.1013203666667,17.6121237333333,1001.97756145,1019.4388240563,2.21439245608984,-0.660904117477685,-0.289532680679528,2.43739331989634,195.926545925713,"1b","1b","1b","1b","1b","1b",1,"b"
2023-10-01 09:00:00,0,0,0,0,38.36,-9.9,100,NA,90.5483469166667,17.8480060333333,1002.08540738333,1019.53427243526,2.40876577355229,-1.05649380581965,-0.267413137424373,2.81228954191876,204.052357533852,"1b","1b","1b","1b","1b","1b",1,"b"
